Date,Forecast
2025-12-24,88994.71
2025-12-25,88609.76
2025-12-26,88781.25
2025-12-27,88028.89
2025-12-28,88284.94
2025-12-29,88389.54
2025-12-30,88561.875
2025-12-31,88488.98
2026-01-01,88653.81
2026-01-02,88658.05
2026-01-03,88587.1
2026-01-04,88224.58
2026-01-05,88495.74
2026-01-06,88495.74
2026-01-07,88571.25
2026-01-08,88636.15
2026-01-09,88636.15
2026-01-10,88636.15
2026-01-11,88636.15
2026-01-12,88636.15
2026-01-13,88636.15
2026-01-14,88446.21
2026-01-15,88495.88
2026-01-16,88510.97
2026-01-17,88520.78
2026-01-18,88560.64
2026-01-19,88636.15
2026-01-20,88636.15
2026-01-21,88636.15
2026-01-22,88636.15
